City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Cherskiy,RU,68.75,161.3,43.29,64,11,17.81,few clouds
114,Talnakh,RU,69.4865,88.3972,38.21,100,100,6.98,overcast clouds
115,Ajra,IN,16.1167,74.2,72.72,87,100,7.83,overcast clouds
116,Pangkalanbuun,ID,-2.6833,111.6167,83.44,72,100,1.9,overcast clouds
117,Midland,US,31.9974,-102.0779,97.05,10,75,4.61,broken clouds
118,Rio Grande,BR,-32.035,-52.0986,52.95,78,100,10.25,overcast clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,53.87,88,0,4.61,clear sky
120,Aras,ES,42.5617,-2.356,57.76,82,0,1.14,clear sky
121,Edson,CA,53.5835,-116.4356,60.94,23,0,5.75,clear sky
122,Qui Nhon,VN,13.7667,109.2333,84.97,72,100,1.9,overcast clouds
123,Bagli,IN,22.65,76.35,83.34,46,3,13.29,clear sky
124,Kaka,TM,37.3482,59.6143,60.73,64,98,10.87,overcast clouds
125,Port Hardy,CA,50.6996,-127.4199,48.2,81,100,16.11,light intensity shower rain
126,Busselton,AU,-33.65,115.3333,61.97,78,92,15.17,overcast clouds
127,Brae,GB,60.3964,-1.353,45.59,78,62,12.71,broken clouds
128,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,69.62,77,13,8.59,few clouds
129,Wick,GB,58.4333,-3.0833,48.25,81,100,4.61,overcast clouds
130,Salamiyah,SY,35.0113,37.0532,66.58,36,4,5.12,clear sky
131,Garissa,KE,-0.4536,39.6401,75.7,80,6,15.99,clear sky
132,Pangnirtung,CA,66.1451,-65.7125,10.42,85,11,6.78,few clouds
133,Acarau,BR,-2.8856,-40.12,78.22,87,100,11.72,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,3.44,scattered clouds
135,Piltene,LV,57.2243,21.6744,48.15,87,0,10.36,clear sky
136,San Patricio,US,28.017,-97.5169,82.49,70,30,13.94,scattered clouds
137,Guerrero Negro,MX,27.9769,-114.0611,67.84,56,100,17.02,overcast clouds
138,Souillac,MU,-20.5167,57.5167,73.78,73,40,3.44,scattered clouds
139,Avera,US,33.194,-82.5271,67.37,88,62,5.86,broken clouds
140,San Luis,AR,-33.295,-66.3356,56.98,73,90,9.24,overcast clouds
141,Szczytno,PL,53.5626,20.9875,46.33,93,0,4.61,clear sky
142,Tiznit,MA,29.5833,-9.5,67.77,58,6,1.36,clear sky
143,Salalah,OM,17.0151,54.0924,82.49,54,0,4.61,clear sky
144,Yulara,AU,-25.2406,130.9889,75.45,33,17,7.47,few clouds
145,Tiksi,RU,71.6872,128.8694,19.54,84,11,8.12,few clouds
