City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Saint George,US,2022-05-13 17:26:44,37.1041,-113.5841,72.63,17,0,1.99
99,Ulaanbaatar,MN,2022-05-13 17:26:20,47.9077,106.8832,30.33,64,0,4.47
100,Yaan,NG,2022-05-13 17:26:45,7.3833,8.5667,93.38,46,28,3.11
101,Bluff,NZ,2022-05-13 17:26:45,-46.6,168.3333,52.81,90,100,13.69
102,Cabo San Lucas,MX,2022-05-13 17:24:37,22.8909,-109.9124,90.7,67,0,5.75
103,Klaksvik,FO,2022-05-13 17:26:45,62.2266,-6.589,43.72,67,75,21.09
104,Mar Del Plata,AR,2022-05-13 17:26:46,-38.0023,-57.5575,60.82,80,100,9.22
105,Moses Lake,US,2022-05-13 17:26:47,47.1301,-119.2781,52.16,30,0,6.91
106,Kaeo,NZ,2022-05-13 17:26:47,-35.1,173.7833,46.33,95,13,3.11
107,Touros,BR,2022-05-13 17:26:47,-5.1989,-35.4608,78.51,87,97,11.83
108,Poum,NC,2022-05-13 17:26:48,-20.2333,164.0167,76.53,74,100,28.43
109,Raga,SS,2022-05-13 17:25:23,8.4596,25.678,81.86,57,100,5.23
110,Muli,MV,2022-05-13 17:26:49,2.9167,73.5667,81.46,81,100,15.21
111,Bredasdorp,ZA,2022-05-13 17:26:49,-34.5322,20.0403,58.66,63,56,12.71
112,Mizan Teferi,ET,2022-05-13 17:26:49,6.9833,35.5833,65.32,90,80,2.28
113,Tuktoyaktuk,CA,2022-05-13 17:26:50,69.4541,-133.0374,33.8,93,100,13.8
114,Kahului,US,2022-05-13 17:26:50,20.8947,-156.47,75.85,69,20,11.99
115,La Rochelle,FR,2022-05-13 17:26:51,46.1667,-1.15,68.07,64,46,11.5
116,Ladario,BR,2022-05-13 17:26:51,-19.0047,-57.6017,93.29,45,0,9.22
117,Luwuk,ID,2022-05-13 17:26:52,-0.9516,122.7875,78.08,86,100,1.28
118,Frankenberg,DE,2022-05-13 17:26:52,51.0667,8.8,66.09,55,98,8.81
119,Nemuro,JP,2022-05-13 17:26:53,43.3236,145.575,45.27,100,100,14.58
120,Airai,TL,2022-05-13 17:26:53,-8.9266,125.4092,61.0,95,70,1.23
121,Brikama,GM,2022-05-13 17:26:54,13.2714,-16.6494,87.84,58,0,9.22
122,Wageningen,NL,2022-05-13 17:26:54,51.9667,5.6667,67.1,54,20,13.8
123,Ust-Kuyga,RU,2022-05-13 17:26:55,70.0167,135.6,-1.17,99,23,2.75
124,Urdoma,RU,2022-05-13 17:26:56,61.7533,48.5442,48.2,86,90,3.44
125,Pevek,RU,2022-05-13 17:26:56,69.7008,170.3133,23.34,78,2,15.43
